گروه,رتبه,نام_استراتژی,تعداد_تکرار,تعداد_سود,تعداد_ضرر,وین‌ریت_(%),میانگین_بازده_(%),بازه_زمانی_شروع,بازه_زمانی_پایان,تعداد_روز_فعال,تعداد_روز_کل_بازه
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__10_0_simple_hybrid_none_trending_down_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),4,3,1,75.0,0.0081249999999997,2018-11-02,2023-01-09,40,1530
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__10_0_simple_hybrid_none_trending_up_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),6,1,5,16.666666666666664,-0.0073363858363856,2023-07-29,2025-10-05,60,800
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__10_0_simple_hybrid_none_unknown_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),9,4,5,44.44444444444444,0.0259722222222219,2018-02-25,2018-07-24,90,150
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__10_0_simple_hybrid_none_volatile_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),264,101,163,38.25757575757576,0.0020279685221336,2018-07-25,2026-06-02,2640,2870
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__15_0_simple_hybrid_none_trending_down_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),5,4,1,80.0,0.016592592592592,2018-10-23,2023-01-14,75,1545
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__15_0_simple_hybrid_none_trending_up_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),5,1,4,20.0,-0.0037325051759832,2020-07-14,2025-09-30,75,1905
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__15_0_simple_hybrid_none_unknown_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),8,4,4,50.0,0.0143796296296295,2018-02-25,2018-07-24,120,150
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__15_0_simple_hybrid_none_volatile_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),186,82,104,44.086021505376344,0.0020038294593303,2018-07-25,2026-06-12,2790,2880
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__30_0_simple_hybrid_none_trending_down_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),4,3,1,75.0,0.00762037037037,2018-10-23,2023-01-29,120,1560
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__30_0_simple_hybrid_none_trending_up_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),5,1,4,20.0,-0.0016117071334462,2020-07-14,2025-10-15,150,1920
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__30_0_simple_hybrid_none_unknown_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),5,2,3,40.0,0.0068922558922557995,2018-01-26,2018-07-24,150,180
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__30_0_simple_hybrid_none_volatile_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),96,42,54,43.75,0.0012817705715742,2018-07-25,2026-06-12,2880,2880
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__5_0_simple_hybrid_none_trending_down_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),5,3,2,60.0,0.0188,2018-11-02,2023-01-09,25,1530
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__5_0_simple_hybrid_none_trending_up_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),8,2,6,25.0,-0.0212545787545786,2023-07-29,2025-09-30,40,795
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__5_0_simple_hybrid_none_unknown_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),8,5,3,62.5,0.1649166666666663,2018-02-25,2018-07-19,40,145
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__5_0_simple_hybrid_none_volatile_fixed,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),413,147,266,35.59322033898305,0.0001460741303355,2018-07-25,2026-06-02,2065,2870
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__none_0_simple_hybrid_none_trending_down_none,1,B4Ic14-30-57_TLpP5-mT3-pR0005_BrT012_LadLine_BufOn_1h (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),2,0,2,0.0,-0.009112903225806,2018-11-01,2023-01-31,61,1553
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__none_0_simple_hybrid_none_trending_up_none,1,B4Ic14-30-57_TLpP5-mT3-pR0005_BrT012_LadLine_BufOn_1h (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),3,0,3,0.0,-0.0067562724014333,2023-08-01,2025-09-30,92,792
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__none_0_simple_hybrid_none_unknown_none,1,B4Ic14-30-57_TLpP5-mT3-pR0005_BrT012_LadLine_BufOn_1h (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),6,3,3,50.0,0.0039373574454218,2018-02-01,2018-07-31,181,181
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__none_0_simple_hybrid_none_volatile_none,1,B4Ic14-30-57_TLpP5-mT3-pR0005_BrT012_LadLine_BufOn_1h (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),91,36,55,39.56043956043956,0.00019773085799369998,2018-08-01,2026-05-31,2772,2861
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__post_10.0_simple_hybrid_none_trending_down_CPI,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),3,2,1,66.66666666666666,0.0136389452332653,2018-10-11,2023-01-11,93,1554
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__post_10.0_simple_hybrid_none_trending_down_CPI_y_y,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),3,2,1,66.66666666666666,0.0136389452332653,2018-10-11,2023-01-11,93,1554
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__post_10.0_simple_hybrid_none_trending_down_CoreCPI,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),3,2,1,66.66666666666666,0.0136389452332653,2018-10-11,2023-01-11,93,1554
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__post_10.0_simple_hybrid_none_trending_down_CorePPI,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),4,3,1,75.0,0.0134333365987457,2018-10-10,2023-01-17,131,1561
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__post_10.0_simple_hybrid_none_trending_down_FOMC,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),4,3,1,75.0,0.0094746210761925,2018-09-26,2023-01-31,175,1589
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__post_10.0_simple_hybrid_none_trending_down_PPI,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),4,3,1,75.0,0.0134333365987457,2018-10-10,2023-01-17,131,1561
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__post_10.0_simple_hybrid_none_trending_up_CPI,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),5,1,4,20.0,-0.0027365205905936,2020-07-14,2025-10-23,169,1928
BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT__post_10.0_simple_hybrid_none_trending_up_CPI_y_y,1,B4Ic14-30-57_TLpP5-mT4-pR001_BrT012_LadLine_BufOff_15m (BTCUSDT+ETHUSDT+PAXGUSDT+SOLUSDT+XRPUSDT),5,1,4,20.0,-0.0027365205905936,2020-07-14,2025-10-23,169,1928
